1,1
50,1
100,1
0,0

1,1
25,1
50,1
75,1
100,1
0,0

1,1
25,1
50,1
75,1
100,1
125,1
150,1
175,1
200,1
0,0

1,1
12,1
25,1
37,1
50,1
0,0

1,1
12,1
25,1
37,1
50,1
62,1
75,1
0,0


1,2
50,2
100,2
0,0

1,1
25,1
50,1
75,2
100,2
125,2
0,0

1,1
25,2
50,1
75,2
100,1
125,2
150,1
175,2
200,1
0,0

1,2
25,2
50,2
75,2
100,2
125,2
0,0

1,2
12,2
25,2
0,0

1,3
0,0

1,2
25,2
50,3
0,0

1,2
12,2
25,2
37,2
50,2
62,2
75,2
0,0

1,3
25,3
50,3
0,0

1,3
25,3
50,3
75,3
100,3
0,0

1,1
25,2
50,3
75,1
100,2
125,3
150,1
175,2
200,3
0,0

1,2
25,3
50,2
75,3
100,2
125,3
150,2
0,0

1,3
12,3
25,3
37,3
50,3
62,3
75,3
0,0

1,4
0,0

1,2
5,2
10,2
15,2
20,2
25,2
30,2
35,2
40,2
45,2
50,2
0,0

1,1
12,1
25,1
37,2
50,2
62,2
75,4
87,3
100,3
112,3
0,0

1,3
5,3
10,3
15,3
20,3
25,3
30,3
35,3
40,3
45,3
50,3
0,0

1,4
12,4
25,4
0,0

1,1
12,2
25,3
37,4
50,1
62,2
75,3
87,4
100,1
112,2
125,3
137,4
0,0


1,3
25,4
50,3
75,4
100,3
125,4
0,0


1,1
25,2
50,3
75,4
100,5
0,0


1,4
25,4
50,4
75,4
100,4
125,4
150,4
0,0



1,4
12,4
25,4
37,4
50,4
62,4
75,4
87,4
100,4
112,4
125,4
137,4
150,4
0,0

1,6
25,2
50,3
75,4
100,5
0,0


1,3
25,4
50,5
75,3
100,4
125,5
150,3
175,4
200,5
0,0

1,6
25,5
50,6
75,5
100,6
125,5
0,0

1,6
5,1
10,2
15,3
20,4
25,5
30,6
35,1
40,2
45,3
50,4
55,5
60,6
65,1
70,2
75,3
80,4
85,5
90,6
95,1
100,2
105,3
110,4
115,5
120,1
125,2
130,3
135,4
140,5
145,1
150,2
155,3
160,4
165,5
170,1
175,2
180,3
185,4
190,5
195,1
200,2
205,3
210,4
215,5
0,0

1,1
0,0
